year,week,county,aqi,so2,co,o3,pm10,pm25,no2,no,nox,auri_visits,ili_visits,opna_visits,temp_c,rh_pct,pop_cnt
2024,8,澎湖縣,32.51807229,0.640740741,0.219698795,32.45542169,15.29090909,,,,,2369,186,58,23.66060606,82.24848485,107901
2024,8,臺中市,53.69518072,1.407361963,0.339697703,24.2865942,31.49029126,,,,,73269,19480,9267,22.788,72.41454545,2860601
2024,8,臺北市,48.50516351,1.221085409,0.515363716,21.87869142,21.69297485,,,,,54790,11658,5960,20.47769697,79.86233766,2490869
2024,8,臺南市,47.9,1.503907204,0.287588307,23.59400978,36.40340219,,,,,36461,9027,4645,24.21530303,71.58787879,1858651
2024,8,臺東縣,24.03614458,0.823708207,0.189515152,23.34501511,15.47112462,,,,,4838,1115,440,22.90636364,77.96969697,210219
2024,8,花蓮縣,29.65060241,0.611585366,0.22439759,23.39277108,12.34146341,,,,,6170,1513,755,22.41636364,85.73939394,315374
2024,8,苗栗縣,45.69076305,1.725858586,0.289048583,23.89375,26.21862348,,,,,16190,2130,858,20.92020202,80.90505051,532854
2024,8,連江縣,39.56024096,0.904242424,0.291272727,28.62606061,21.82716049,,,,,107,50,41,13.60731707,86.37804878,13950
2024,8,金門縣,55.09036145,0.966666667,0.297228916,25.07710843,23.37195122,,,,,2132,122,75,18.4830303,79.67272727,143601
2024,8,雲林縣,54.11746988,1.378374233,0.275742726,26.32235835,39.77419355,,,,,19480,2779,1315,22.90989899,80.75707071,658427
2024,8,高雄市,48.28405931,2.142931442,0.321960876,25.60974359,38.42783505,,,,,64300,9978,3369,25.36498163,70.55105601,2731412
2024,9,南投縣,61.28143713,1.127016129,0.385659574,24.17096774,29.16901408,,,,,11400,2168,1018,17.99101796,78.54091816,472299
2024,9,嘉義市,64.5988024,2.284242424,0.414060606,25.09333333,33.03030303,,,,,7109,1511,586,17.78502994,75.38922156,262177
2024,9,嘉義縣,65.68085106,1.984486874,0.348800959,30.10795181,35.94242424,,,,,11588,1157,560,17.38922156,78.64670659,478786
2024,9,基隆市,42.98203593,0.963636364,0.337030303,34.49085366,16.03012048,,,,,7835,1213,732,13.70658683,91.35329341,361441
2024,9,宜蘭縣,32.6257485,0.786322188,0.302870091,31.23525836,14.62048193,,,,,10991,2687,1419,15.84820359,85.45508982,449212
2024,9,屏東縣,72.27944112,1.314343845,0.381464646,36.11762918,39.32862903,,,,,18250,3308,1291,21.34031936,74.93812375,789239
2024,9,彰化縣,49.60958084,1.707875,0.343785803,30.64769614,28.79280397,,,,,30060,5249,2366,17.03323353,80.72854291,1225675
